               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10355,            0.034555,                   0,           0.0035749,             0.63248,           0.0036598,            0.001512,            0.096249,             0.02532,                   0,            0.070652,           0.0032609,           0.0032609
                   1,            0.094059,            0.035728,                   0,           0.0033816,             0.59829,           0.0039882,           0.0013806,            0.091532,             0.02559,                   0,             0.04062,           0.0065616,           0.0065616
                   2,            0.090895,            0.035004,                   0,            0.011692,            0.017094,           0.0034567,           0.0012204,             0.10592,            0.050627,                   0,            0.010554,           0.0098293,           0.0098293
                   3,            0.088075,            0.035128,                   0,            0.021769,            0.034188,           0.0038885,           0.0014636,             0.12495,              1.7896,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.087437,            0.034778,                   0,           0.0057502,            0.039597,           0.0039072,           0.0013166,            0.098779,            0.026196,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,              0.0861,            0.034641,                   0,            0.003285,              0.5812,           0.0051656,           0.0016806,            0.089002,            0.023259,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.085407,            0.033635,                   0,           0.0033333,             0.58974,           0.0087571,           0.0022497,            0.086243,            0.023678,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.084748,             0.03478,                   0,           0.0032367,             0.57265,           0.0086916,           0.0025472,            0.085394,            0.024921,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.08412,            0.033525,                   0,            0.015533,            0.034188,            0.014876,           0.0056559,            0.084447,            0.028335,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.082498,            0.032931,                   0,             0.12863,             0.17094,            0.088515,            0.031604,            0.080578,            0.026482,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.080613,            0.031802,                   0,             0.16814,             0.18314,            0.084554,            0.030044,            0.079118,            0.023747,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.08013,            0.032673,                   0,             0.19669,             0.21368,             0.11895,            0.043088,            0.075581,            0.024542,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.077335,            0.033083,                   0,             0.21089,             0.26496,             0.15298,            0.049766,            0.075717,            0.022425,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.075187,            0.032386,                   0,             0.37651,             0.32003,             0.28316,             0.13522,             0.07274,            0.023316,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.07351,            0.031722,                   0,              0.3674,             0.40171,             0.32982,             0.13099,            0.069277,            0.021844,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.070255,            0.032038,                   0,             0.33443,             0.32479,             0.28096,            0.096417,            0.071824,            0.021266,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.068145,            0.030426,                   0,             0.28338,             0.44953,             0.27176,            0.084979,            0.069339,             0.02098,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.066116,            0.030433,                   0,             0.45759,             0.44444,             0.34051,             0.15146,            0.067875,            0.023125,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.064697,            0.029326,                   0,             0.43779,              0.4659,              0.3632,             0.13897,            0.061723,            0.023446,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.06243,             0.02858,                   0,             0.59724,             0.53846,             0.55461,             0.21039,            0.059803,            0.021643,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.060353,             0.02848,                   0,             0.57702,             0.62393,             0.54664,             0.25287,            0.058657,            0.022269,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.057718,            0.027966,                   0,              0.5741,             0.61063,             0.55757,             0.28912,             0.05576,            0.020591,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.056292,            0.027374,                   0,             0.80009,             0.63248,             0.70773,             0.34559,            0.055137,            0.018967,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.056048,            0.027809,                   0,             0.72019,             0.68376,             0.69692,             0.34618,            0.053989,             0.01871,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.053642,            0.026309,                   0,             0.68149,             0.42063,             0.45458,             0.22726,            0.060821,            0.018113,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.051909,            0.025285,                   0,             0.81865,             0.65593,             0.74227,             0.42504,            0.050999,            0.017385,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.051149,              0.0259,                   0,             0.68117,             0.67521,             0.68771,             0.35784,            0.046758,            0.017629,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.051582,            0.024455,                   0,             0.86492,             0.68376,             0.75081,             0.42708,            0.049303,            0.016371,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.049333,            0.024371,                   0,             0.81091,              0.7265,             0.78699,             0.42993,            0.045958,            0.016031,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.049238,            0.023642,                   0,             0.90624,             0.70085,             0.80252,             0.43656,            0.051499,            0.016255,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.048033,            0.023994,                   0,             0.92131,              0.7005,             0.81071,             0.47799,            0.043319,            0.015693,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.046509,            0.023823,                   0,             0.83988,             0.76068,             0.80672,             0.43683,            0.050085,            0.015416,                   0,            0.008515,            0.008515,            0.008515
